date,lockdown,mask,quarantine,close,shutdown,distancing,gatherings,derivative_cases
2020-04-15,20981,4192,6054,2601,0,5500,0,0.2276844128302867
2020-04-16,25458,3745,6485,2724,2045,5322,0,0.2138580894167649
2020-04-17,20055,3813,5385,2422,1656,5103,0,0.1994891220736999
2020-04-18,18649,3722,5111,2300,0,4798,0,0.1992084711112418
2020-04-19,23600,4178,5665,2743,0,5188,0,0.1782592684821616
2020-04-20,27452,3817,6442,2588,0,5123,0,0.1693998384998863
2020-04-21,23867,4255,6448,2686,0,4481,0,0.1645456190844598
2020-04-22,23057,4149,5975,2749,0,5019,0,0.1518401209340466
2020-04-23,23543,4686,5983,2736,0,4971,0,0.1435033683529527
2020-04-24,19682,3621,5162,2265,0,3871,0,0.1432748216379608
2020-04-25,23507,3897,5213,2188,0,4035,0,0.1282161621429367
2020-04-26,28349,4165,6131,2312,0,4837,0,0.1394076457089731
2020-04-27,31808,4363,6185,3033,0,5067,0,0.135561656806691
2020-04-28,26197,9898,6081,2923,0,4952,0,0.1346317450594682
2020-04-29,24369,7566,5954,2721,0,5758,0,0.1382047123914909
2020-04-30,26361,6386,5588,3634,0,5309,0,0.1386826050358569
2020-05-01,23732,3767,4151,2181,0,3368,0,0.1350752098891816
2020-05-02,24314,5522,5035,2008,0,4070,0,0.126120330979435
2020-05-03,24658,5767,5476,3020,0,5059,0,0.1184960175994397
2020-05-04,27383,6628,5226,2886,0,5946,0,0.1153580936506758
2020-05-05,25520,6714,5107,3107,0,5327,0,0.1082348264657181
2020-05-06,27930,6873,5130,3625,0,5000,0,0.1049151272892165
2020-05-07,30570,6726,6362,3407,0,4563,0,0.1018194402559797
2020-05-08,25571,7320,6061,3475,0,4876,0,0.0993753334924066
2020-05-09,23979,6320,10574,3472,0,5263,0,0.1034439340827591
2020-05-10,29892,5197,10345,2753,0,4810,0,0.1003431673794964
2020-05-11,31705,6459,7425,2877,0,5180,0,0.1000308918690723
2020-05-12,22360,5048,5122,2457,0,4286,0,0.1033477412107706
2020-05-13,21654,5813,4764,2373,0,4625,0,0.1050417802944561
2020-05-14,21127,7777,5249,2591,0,4717,0,0.1042684469017439
2020-05-15,23336,7289,5445,2875,0,4829,0,0.1006436068196493
2020-05-16,24992,6145,5095,2560,0,4431,0,0.0983883409177008
2020-05-17,24855,7096,4725,2378,0,4401,0,0.0992292248124364
2020-05-18,28268,6602,4939,2337,0,4620,0,0.09411794820239
2020-05-19,13685,5786,3267,1831,0,2789,0,0.0918172200073949
2020-05-20,12401,6401,7183,1804,1459,2559,0,0.0881623493004172
2020-05-21,20800,8904,4938,3711,2495,5013,0,0.0867828330551149
2020-05-22,19695,8110,6837,3868,0,4408,0,0.0842162742264387
2020-05-23,23404,6891,5751,2385,0,4011,0,0.0936146444100002
2020-05-24,20797,7407,4401,2536,0,5358,0,0.0965132694889796
2020-05-25,22840,8985,4770,2801,0,5510,0,0.1010710294468676
2020-05-26,22131,9041,5213,2462,0,4978,0,0.115474566263311
2020-05-27,18525,8816,4733,2571,0,4267,0,0.1197450499511792
2020-05-28,20177,7287,4380,2392,0,3954,0,0.1192083057645338
2020-05-29,17807,7768,3871,2490,0,4373,0,0.1004437756563353
2020-05-30,22099,5990,3823,1923,0,5479,0,0.0961368873256428
2020-05-31,19209,5118,3963,2134,0,5393,0,0.0754323912976369
2020-06-01,18530,4906,3884,1985,0,4845,0,0.0512736027138001
2020-06-02,15317,4816,4744,2100,0,5656,0,0.0218814664475163
2020-06-03,14594,4900,4678,2223,0,6117,0,0.0192693252148563
2020-06-04,13659,4659,3680,2106,0,4736,0,0.0197132276414338
2020-06-05,13931,5498,3154,2212,0,4919,0,0.0329097685096164
2020-06-06,11704,7260,2495,1648,0,5004,1548,0.0307697551875358
2020-06-07,12864,5679,2733,2101,0,4073,1251,0.0521154268807869
2020-06-08,14810,5569,5320,2115,0,4791,0,0.0739355014839298
2020-06-09,12371,5324,3415,2022,0,4132,0,0.0890744541315802
2020-06-10,14478,6834,3399,2549,0,3846,0,0.0924028451514788
2020-06-11,13452,8312,3741,2621,0,5060,0,0.0892573198697926
2020-06-12,13043,8702,3313,2361,0,4378,0,0.1054142535943492
2020-06-13,10430,7165,2689,1572,0,3289,0,0.0859295106505275
2020-06-14,9143,7095,2787,1722,0,4096,0,0.0928010829392695
2020-06-15,14061,9062,3186,2520,0,4980,0,0.0997109633455045
2020-06-16,11186,9867,3772,3358,0,3817,0,0.1041197882778166
2020-06-17,9519,12072,3765,3237,0,4282,0,0.1013095408645025
2020-06-18,10726,12401,3521,2580,0,3738,0,0.1053427694908554
2020-06-19,9431,13475,3463,3553,0,3839,0,0.1006106324609645
2020-06-20,7451,11587,4577,3018,0,3873,0,0.1227863941842288
2020-06-21,7187,7397,2945,2008,0,3166,0,0.11562307316944
2020-06-22,10040,10223,3231,2462,0,3893,0,0.1091979466696627
2020-06-23,13132,10424,3720,2606,0,4739,0,0.1079003554888436
2020-06-24,9887,12606,6855,2675,0,3746,0,0.0906998763968223
2020-06-25,9648,17143,5880,3210,0,4510,0,0.0809449835201901
2020-06-26,9406,17176,3504,5202,0,4734,0,0.0831387012389954
2020-06-27,7778,17527,3649,3565,0,3816,0,0.0857178779765003
2020-06-28,9787,15146,3302,3320,0,3836,0,0.0820732954705998
2020-06-29,13277,16737,3599,4671,0,4193,0,0.0797927088077961
2020-06-30,12906,14222,3377,5179,0,3614,0,0.0777787124995335
2020-07-01,11227,16471,3588,4168,0,3870,0,0.0971206849845287
2020-07-02,9467,20078,4338,4134,0,4155,0,0.1035645848232424
2020-07-03,10067,16891,5333,2785,0,4391,0,0.1010496870565196
2020-07-04,9743,14106,3776,2793,0,3940,0,0.0993344620049297
2020-07-05,10418,12660,3525,3510,0,4635,0,0.1008156120892667
2020-07-06,8264,11758,2844,3677,0,3258,0,0.1040917505020181
2020-07-07,11857,13925,3154,4401,0,3954,0,0.1043649814032719
2020-07-08,10595,14103,3507,3139,0,3589,0,0.1023061244819448
2020-07-09,9570,13151,3159,3225,0,3113,0,0.1060355229157949
2020-07-10,9334,13890,3474,2886,0,2980,0,0.0977936197356825
2020-07-11,8014,14572,2329,1899,0,2810,0,0.0954096069949726
2020-07-12,8094,17345,3058,2407,0,3316,0,0.1025463810335479
2020-07-13,9268,16237,4148,4649,0,3609,0,0.0988002068395468
2020-07-14,11134,18308,4240,3538,0,3329,0,0.09763340886514
2020-07-15,8481,17495,3217,2705,0,4535,0,0.0997357459348207
2020-07-16,9605,22546,3000,2805,0,3224,0,0.0992904145772477
2020-07-17,8577,18569,2866,2686,0,3231,0,0.0959124973235315
2020-07-18,6406,14097,2289,2220,0,2681,0,0.0848808506456439
2020-07-19,7467,13371,3074,2644,0,2505,0,0.0736008740895546
2020-07-20,7581,15730,3705,2725,0,2882,0,0.0770923790449981
2020-07-21,7528,16045,3853,2789,0,2981,0,-0.0624227857009343
2020-07-22,8150,14557,3672,2931,0,3018,0,-0.0616158147830217
2020-07-23,7061,12668,2738,2657,0,3868,0,-0.0696598122407785
