date,lockdown,mask,quarantine,close,shutdown,distancing,gatherings,derivative_cases
2020-04-15,20981,4192,6054,2601,0,5500,0,0.549631040160884
2020-04-16,25458,3745,6485,2724,2045,5322,0,0.446726830542882
2020-04-17,20055,3813,5385,2422,1656,5103,0,0.3551530319674292
2020-04-18,18649,3722,5111,2300,0,4798,0,0.2753588232355166
2020-04-19,23600,4178,5665,2743,0,5188,0,0.2055589065859881
2020-04-20,27452,3817,6442,2588,0,5123,0,0.1981469015250994
2020-04-21,23867,4255,6448,2686,0,4481,0,0.2013309013010075
2020-04-22,23057,4149,5975,2749,0,5019,0,0.1919047145826907
2020-04-23,23543,4686,5983,2736,0,4971,0,0.1812466848414831
2020-04-24,19682,3621,5162,2265,0,3871,0,0.1712961767639948
2020-04-25,23507,3897,5213,2188,0,4035,0,0.1633865201521609
2020-04-26,28349,4165,6131,2312,0,4837,0,0.1533522400642588
2020-04-27,31808,4363,6185,3033,0,5067,0,0.1480024659911577
2020-04-28,26197,9898,6081,2923,0,4952,0,0.1433281744903006
2020-04-29,24369,7566,5954,2721,0,5758,0,0.1392521380504917
2020-04-30,26361,6386,5588,3634,0,5309,0,0.1374537626321321
2020-05-01,23732,3767,4151,2181,0,3368,0,0.1368430801108454
2020-05-02,24314,5522,5035,2008,0,4070,0,0.1357277140618824
2020-05-03,24658,5767,5476,3020,0,5059,0,0.1352826008512307
2020-05-04,27383,6628,5226,2886,0,5946,0,0.1321941032068315
2020-05-05,25520,6714,5107,3107,0,5327,0,0.1292034129203411
2020-05-06,27930,6873,5130,3625,0,5000,0,0.1253193316973846
2020-05-07,30570,6726,6362,3407,0,4563,0,0.1205522081332585
2020-05-08,25571,7320,6061,3475,0,4876,0,0.1153331780419755
2020-05-09,23979,6320,10574,3472,0,5263,0,0.1103049423878716
2020-05-10,29892,5197,10345,2753,0,4810,0,0.1071755588792719
2020-05-11,31705,6459,7425,2877,0,5180,0,0.1046407598554135
