date,lockdown,mask,quarantine,close,shutdown,distancing,gatherings,derivative_cases
2020-04-15,20981,4192,6054,2601,0,5500,0,0.0396802012905827
2020-04-16,25458,3745,6485,2724,2045,5322,0,0.0351140159013822
2020-04-17,20055,3813,5385,2422,1656,5103,0,0.0316574109625008
2020-04-18,18649,3722,5111,2300,0,4798,0,0.0297440416316826
2020-04-19,23600,4178,5665,2743,0,5188,0,0.0274261747487926
2020-04-20,27452,3817,6442,2588,0,5123,0,0.0218714188316869
2020-04-21,23867,4255,6448,2686,0,4481,0,0.0227915020873332
2020-04-22,23057,4149,5975,2749,0,5019,0,0.027971202984952
2020-04-23,23543,4686,5983,2736,0,4971,0,0.0228609200736959
2020-04-24,19682,3621,5162,2265,0,3871,0,0.031416028493927
2020-04-25,23507,3897,5213,2188,0,4035,0,0.0117552456017144
2020-04-26,28349,4165,6131,2312,0,4837,0,0.0197008714130763
2020-04-27,31808,4363,6185,3033,0,5067,0,0.0176295950191186
2020-04-28,26197,9898,6081,2923,0,4952,0,0.0116325785337455
2020-04-29,24369,7566,5954,2721,0,5758,0,0.0205309850032885
2020-04-30,26361,6386,5588,3634,0,5309,0,0.0226564856053364
2020-05-01,23732,3767,4151,2181,0,3368,0,0.0178307185781992
2020-05-02,24314,5522,5035,2008,0,4070,0,0.0217914803091624
2020-05-03,24658,5767,5476,3020,0,5059,0,0.0162589441538803
2020-05-04,27383,6628,5226,2886,0,5946,0,0.016796257869121
2020-05-05,25520,6714,5107,3107,0,5327,0,0.0148182201931207
2020-05-06,27930,6873,5130,3625,0,5000,0,0.020959470534732
2020-05-07,30570,6726,6362,3407,0,4563,0,0.0194166661626107
2020-05-08,25571,7320,6061,3475,0,4876,0,0.009800809409116
2020-05-09,23979,6320,10574,3472,0,5263,0,0.0148735176007628
2020-05-10,29892,5197,10345,2753,0,4810,0,0.0134078447947157
2020-05-11,31705,6459,7425,2877,0,5180,0,0.0103024587397668
2020-05-12,22360,5048,5122,2457,0,4286,0,0.0117783489226809
2020-05-13,21654,5813,4764,2373,0,4625,0,0.0180990055846786
2020-05-14,21127,7777,5249,2591,0,4717,0,0.0171553490378299
2020-05-15,23336,7289,5445,2875,0,4829,0,0.0135379099644368
2020-05-16,24992,6145,5095,2560,0,4431,0,0.0120216409315459
2020-05-17,24855,7096,4725,2378,0,4401,0,0.0131202413802693
2020-05-18,28268,6602,4939,2337,0,4620,0,0.013348755957378
2020-05-19,13685,5786,3267,1831,0,2789,0,0.0133317957673003
2020-05-20,12401,6401,7183,1804,1459,2559,0,0.0173865167248493
2020-05-21,20800,8904,4938,3711,2495,5013,0,0.0138164639241115
2020-05-22,19695,8110,6837,3868,0,4408,0,0.0114611273669529
2020-05-23,23404,6891,5751,2385,0,4011,0,0.012796405800474
2020-05-24,20797,7407,4401,2536,0,5358,0,0.0084093606321568
2020-05-25,22840,8985,4770,2801,0,5510,0,0.0112178704728424
2020-05-26,22131,9041,5213,2462,0,4978,0,0.0099396559210594
2020-05-27,18525,8816,4733,2571,0,4267,0,0.0160967264389827
2020-05-28,20177,7287,4380,2392,0,3954,0,0.0114222233113599
2020-05-29,17807,7768,3871,2490,0,4373,0,0.0202288302019426
2020-05-30,22099,5990,3823,1923,0,5479,0,0.0154808221776314
2020-05-31,19209,5118,3963,2134,0,5393,0,0.0126009084528144
2020-06-01,18530,4906,3884,1985,0,4845,0,0.0244460032974051
2020-06-02,15317,4816,4744,2100,0,5656,0,0.0138061096769616
2020-06-03,14594,4900,4678,2223,0,6117,0,0.015609665557571
2020-06-04,13659,4659,3680,2106,0,4736,0,-0.0055351765432296
2020-06-05,13931,5498,3154,2212,0,4919,0,0.0162358850459648
2020-06-06,11704,7260,2495,1648,0,5004,1548,-0.0037001933436962
